Individual,Fitness,HealthGain1,HealthGain2,HealthGain3,HealthGain4,HealthGain5,HealthGain6,HealthGain7,HealthGain8,EnemiesBeaten
6361,-12.274906832298056,-70.0,14.0,-70.0,-70.0,47.8000000000003,-90.0,7.000000000000233,49.60000000000031,4
6362,-67.37599999999999,-100.0,-70.0,-80.0,-90.0,6.200000000000131,-100.0,-90.0,-70.0,1
6363,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6364,-90.06818181818181,-100,-100,-100,-100,-100,-100,-100,-100,0
6365,-68.556,-100.0,-80.0,-90.0,-100.0,0.40000000000009095,-60.0,-100.0,-70.0,1
6366,-48.72310961968677,-80.0,-60.0,-80.0,-60.0,46.6000000000003,-80.0,-100.0,-50.0,1
6367,-56.83934579439249,-100.0,-50.0,-90.0,-70.0,59.20000000000033,-90.0,-100.0,-90.0,1
6368,-19.24103857566762,-70.0,70.0,-60.0,-80.0,64.60000000000034,-70.0,-10.0,-80.0,2
6369,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6370,-65.11799999999997,-50.0,-70.0,-90.0,-90.0,-15.599999999999682,-90.0,-100.0,-70.0,0
6371,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6372,-13.012066115702424,-70.0,70.0,-70.0,-70.0,64.60000000000034,-50.0,17.80000000000023,-80.0,3
6373,-18.2103614457831,-70.0,76.0,-60.0,-70.0,59.80000000000033,-70.0,-30.0,-60.0,2
6374,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
6375,-87.37110187110187,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,0
6376,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6377,-72.39160839160839,-100.0,-40.0,-90.0,-70.0,-70.0,-100.0,-80.0,-90.0,0
6378,-59.705428109854566,-100.0,-80.0,-80.0,-80.0,58.60000000000033,-90.0,-100.0,-70.0,1
6379,-41.57107279693485,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6380,-87.58199999999995,-100.0,-100.0,-100.0,-100.0,-47.99999999999969,-100.0,-100.0,-100.0,0
6381,-40.97693486590033,-60.0,-90.0,-70.0,-90.0,13.00000000000023,-70.0,-100.0,65.20000000000033,2
6382,-37.47699999999995,-90.0,6.0,-70.0,-90.0,-14.999999999999858,-100.0,-30.0,28.600000000000257,2
6383,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6384,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6385,-48.18108108108108,-100.0,-40.0,-20.0,-70.0,-30.0,-90.0,-20.0,-90.0,0
6386,-41.57107279693485,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6387,-39.136787564766834,-100.0,52.0,-50.0,-70.0,-40.0,-70.0,-30.0,-80.0,1
6388,-70.70599999999996,-100.0,-70.0,-90.0,-100.0,-18.399999999999665,-90.0,-80.0,-70.0,0
6389,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6390,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6391,-68.416,-100.0,-60.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
6392,-41.517777777777745,-70.0,-20.0,-80.0,-70.0,61.600000000000335,-100.0,-70.0,-70.0,1
6393,-88.15,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,0
6394,-46.09939163498097,-90.0,-50.0,-20.0,-80.0,77.20000000000022,-90.0,-100.0,-70.0,1
6395,-89.59545454545454,-100,-100,-100,-100,-100,-100,-100,-100,0
6396,-42.78928571428569,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,31.000000000000263,2
6397,-67.604,-100.0,-60.0,-70.0,-100.0,16.800000000000125,-100.0,-100.0,-70.0,1
6398,-84.06999999999996,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-80.0,0
6399,-93.18792866941016,-100,-100,-100,-100,-100,-100,-100,-100,0
6400,-41.57107279693485,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6401,-68.38,-100.0,-70.0,-80.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
6402,-50.8790450928382,-90.0,58.0,-70.0,-90.0,-90.0,-100.0,-20.0,-60.0,1
6403,-88.31199999999997,-100.0,-100.0,-100.0,-100.0,-52.7999999999997,-100.0,-100.0,-100.0,0
6404,-40.99199999999993,-60.0,-70.0,-60.0,-60.0,-1.1999999999997684,-80.0,-100.0,50.80000000000031,1
6405,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6406,-86.80199999999996,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6407,-87.25,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,0
6408,-89.70454545454545,-100,-100,-100,-100,-100,-100,-100,-100,0
6409,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6410,-88.23799999999997,-90.0,-100.0,-100.0,-100.0,-77.99999999999976,-100.0,-100.0,-90.0,0
6411,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6412,-89.7,-100,-100,-100,-100,-100,-100,-100,-100,0
6413,-54.045999999999964,-100.0,16.0,-90.0,-70.0,-12.399999999999693,-100.0,-60.0,-80.0,1
6414,-25.112471910112305,-50.0,-70.0,-30.0,-40.0,76.00000000000023,-80.0,-100.0,40.600000000000286,2
6415,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6416,-46.095645933014325,-100.0,-50.0,-90.0,-60.0,66.40000000000032,-90.0,-30.0,-90.0,1
6417,-66.19244604316546,-100.0,-50.0,-50.0,-70.0,-90.0,-80.0,-90.0,-80.0,0
6418,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6419,-65.27079934747145,-100.0,-60.0,-40.0,-70.0,-80.0,-100.0,-70.0,-80.0,0
6420,-48.623029366306014,-50.0,-80.0,-80.0,-80.0,82.00000000000017,-80.0,-100.0,-70.0,1
6421,-89.75,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,0
6422,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6423,-18.014777448071186,-70.0,70.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
6424,-46.556391752577305,-50.0,-70.0,-80.0,-80.0,84.40000000000015,-90.0,-90.0,-70.0,1
6425,-61.68699999999996,-100.0,-20.0,-90.0,-90.0,-20.19999999999967,-100.0,-50.0,-80.0,0
6426,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
6427,-82.44601677148847,-100.0,-60.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,0
6428,-40.37978021978019,-90.0,8.0,-70.0,-90.0,-60.0,-100.0,-20.0,30.40000000000026,2
6429,-80.19199999999992,-100.0,-100.0,-90.0,-100.0,-43.79999999999968,-100.0,-100.0,-79.39999999999976,0
6430,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
6431,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6432,-51.58607973421924,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6433,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6434,-41.263999999999925,-30.0,-70.0,-30.0,-80.0,-35.59999999999968,-90.0,-100.0,46.6000000000003,1
6435,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6436,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6437,-59.985999999999976,-100.0,-60.0,-90.0,-80.0,-1.5999999999997954,-90.0,-20.0,-90.0,0
6438,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6439,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6440,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6441,-74.88199999999998,-100.0,-70.0,-80.0,-100.0,-67.59999999999977,-70.0,-80.0,-70.0,0
6442,-90.96353166986565,-100,-100,-100,-100,-100,-100,-100,-100,0
